model_A,model_B,A_only_correct,B_only_correct,statistic,p_raw,p_holm,significant_0.05
mDeBERTa-v3 (base),XLM-R (base),40,37,0.052,0.8197,0.8197,False
mDeBERTa-v3 (base),mBERT (cased),49,33,2.744,0.0976,0.2929,False
mDeBERTa-v3 (base),DistilmBERT,79,32,19.063,0.0,0.0001,True
mDeBERTa-v3 (base),TF-IDF + LogReg,159,35,77.985,0.0,0.0,True
XLM-R (base),mBERT (cased),52,39,1.582,0.2084,0.4168,False
XLM-R (base),DistilmBERT,80,36,15.94,0.0001,0.0003,True
XLM-R (base),TF-IDF + LogReg,157,36,74.611,0.0,0.0,True
mBERT (cased),DistilmBERT,65,34,9.091,0.0026,0.0103,True
mBERT (cased),TF-IDF + LogReg,158,50,55.043,0.0,0.0,True
DistilmBERT,TF-IDF + LogReg,141,64,28.176,0.0,0.0,True
