model,length_band,n,macro_f1
mDeBERTa-v3 (base),<=30,75,0.8692802236198464
mDeBERTa-v3 (base),31-60,530,0.8816605344970195
mDeBERTa-v3 (base),61-120,118,0.9735431634165811
mDeBERTa-v3 (base),>120,177,0.9830508474576272
XLM-R (base),<=30,75,0.8644650428687987
XLM-R (base),31-60,530,0.8828354153800372
XLM-R (base),61-120,118,0.9416841223292836
XLM-R (base),>120,177,1.0
mBERT (cased),<=30,75,0.8848612574639972
mBERT (cased),31-60,530,0.8798708951648656
mBERT (cased),61-120,118,0.7760375468016664
mBERT (cased),>120,177,0.9830508474576272
DistilmBERT,<=30,75,0.7328359602441031
DistilmBERT,31-60,530,0.8518561616936419
DistilmBERT,61-120,118,0.8294141275032995
DistilmBERT,>120,177,0.9091142490372273
TF-IDF + LogReg,<=30,75,0.7194003082527672
TF-IDF + LogReg,31-60,530,0.7518499465600481
TF-IDF + LogReg,61-120,118,0.6092866265280058
TF-IDF + LogReg,>120,177,0.6114304165321278
