bucket,n,classes_present,model,macro_f1,accuracy,f1_Human,f1_AI-Generated,f1_AI-Obfuscated
<50,523,Human/AI-Generated/AI-Obfuscated,mDeBERTa-v3 (base),0.8767,0.87,0.8475,0.832,0.9507
<50,523,Human/AI-Generated/AI-Obfuscated,XLM-R (base),0.8798,0.8738,0.8579,0.8306,0.951
<50,523,Human/AI-Generated/AI-Obfuscated,mBERT (cased),0.8756,0.87,0.855,0.832,0.9399
<50,523,Human/AI-Generated/AI-Obfuscated,DistilmBERT,0.8404,0.8356,0.8293,0.771,0.921
<50,523,Human/AI-Generated/AI-Obfuscated,TF-IDF + LogReg,0.7589,0.7514,0.7423,0.708,0.8266
50-150,220,Human/AI-Generated/AI-Obfuscated,mDeBERTa-v3 (base),0.9445,0.9455,0.9252,0.9559,0.9524
50-150,220,Human/AI-Generated/AI-Obfuscated,XLM-R (base),0.9337,0.9136,0.8707,0.9304,1.0
50-150,220,Human/AI-Generated/AI-Obfuscated,mBERT (cased),0.8902,0.8727,0.8302,0.8931,0.9474
50-150,220,Human/AI-Generated/AI-Obfuscated,DistilmBERT,0.8758,0.8727,0.8188,0.8996,0.9091
50-150,220,Human/AI-Generated/AI-Obfuscated,TF-IDF + LogReg,0.6411,0.7136,0.6375,0.7857,0.5
>150,157,Human/AI-Generated,mDeBERTa-v3 (base),0.9872,0.9873,0.988,0.9865,
>150,157,Human/AI-Generated,XLM-R (base),1.0,1.0,1.0,1.0,
>150,157,Human/AI-Generated,mBERT (cased),0.9872,0.9873,0.988,0.9865,
>150,157,Human/AI-Generated,DistilmBERT,0.9044,0.9045,0.902,0.9068,
>150,157,Human/AI-Generated,TF-IDF + LogReg,0.9172,0.9172,0.9161,0.9182,
