feature,abs_coef_sum
n_chars,18.223287003972914
n_words,10.9102941604694
n_sents,5.886199410748912
ttr,4.417820947052263
avg_sent_len_words,4.325743880734567
log_n_words,4.264171918637713
avg_word_len,2.058178053655402
punct_33,1.7726683604979376
cyr_ratio,1.5443964887422195
space_ratio,1.5323237114394868
hapax_ratio,1.3650633913080101
punct_40,1.0292204728934138
punct_41,0.9996773733723864
n_newlines,0.9873479522239811
punct_39,0.8079364960841773
punct_58,0.7144446527106709
punct_46,0.607038189455749
digit_ratio,0.5882290733567657
punct_63,0.5530082592575165
punct_44,0.46227409152705345
punct_45,0.33400391433660515
long_word_ratio,0.3288676879275063
punct_34,0.3178973374933034
std_word_len,0.3005569924465763
upper_ratio,0.20227103958179998
lat_ratio,0.17006458512429284
punct_59,0.13889841720572474
punct_171,0.0
punct_8212,0.0
punct_187,0.0
punct_8230,0.0
