tokenizer,class,median_words,median_subtokens,mean_fertility,median_fertility,p95_subtokens,max_subtokens
XLM-R (base),Human,47.0,86.0,1.949,1.928,652.2,881
XLM-R (base),AI-Generated,51.0,101.0,1.976,1.971,526.5999999999999,708
XLM-R (base),AI-Obfuscated,37.0,71.5,1.946,1.946,98.54999999999998,118
XLM-R (base),ALL,46.0,87.0,1.961,1.941,542.0,881
mDeBERTa-v3 (base),Human,47.0,110.0,2.415,2.408,756.0,930
mDeBERTa-v3 (base),AI-Generated,51.0,124.0,2.413,2.398,595.8,808
mDeBERTa-v3 (base),AI-Obfuscated,37.0,89.0,2.412,2.413,118.54999999999998,148
mDeBERTa-v3 (base),ALL,46.0,110.0,2.414,2.405,620.1499999999999,930
mBERT (cased),Human,47.0,134.0,2.95,2.938,908.4000000000001,1116
mBERT (cased),AI-Generated,51.0,151.0,2.925,2.9,690.5999999999999,962
mBERT (cased),AI-Obfuscated,37.0,107.5,2.918,2.921,150.39999999999986,184
mBERT (cased),ALL,46.0,132.0,2.933,2.918,734.0999999999999,1116
DistilmBERT,Human,47.0,134.0,2.95,2.938,908.4000000000001,1116
DistilmBERT,AI-Generated,51.0,151.0,2.925,2.9,690.5999999999999,962
DistilmBERT,AI-Obfuscated,37.0,107.5,2.918,2.921,150.39999999999986,184
DistilmBERT,ALL,46.0,132.0,2.933,2.918,734.0999999999999,1116
