model,seed,macro_f1,accuracy
mDeBERTa-v3 (base),42,0.891836847408641,0.8788888888888889
mDeBERTa-v3 (base),1,0.7867288665406226,0.7566666666666667
mDeBERTa-v3 (base),2,0.9012598232124566,0.89
mDeBERTa-v3 (base),3,0.8888492573462027,0.8766666666666667
mDeBERTa-v3 (base),4,0.880850344063441,0.8655555555555555
mDeBERTa-v3 (base),5,0.8424079708027524,0.8211111111111111
mDeBERTa-v3 (base),6,0.885276934219902,0.8766666666666667
mDeBERTa-v3 (base),7,0.8889943866178754,0.8766666666666667
mDeBERTa-v3 (base),8,0.8634705017642189,0.8444444444444444
mDeBERTa-v3 (base),9,0.8806238007292585,0.8666666666666667
XLM-R (base),42,0.8904318270528719,0.8755555555555555
XLM-R (base),1,0.8025923739170828,0.7966666666666666
XLM-R (base),2,0.8995132867254059,0.89
XLM-R (base),3,0.785770771711392,0.7711111111111111
XLM-R (base),4,0.8824639117790238,0.87
XLM-R (base),5,0.8641218929758491,0.8511111111111112
XLM-R (base),6,0.869571051417329,0.8522222222222222
XLM-R (base),7,0.8805227798520958,0.8722222222222222
XLM-R (base),8,0.8816556349645795,0.8722222222222222
XLM-R (base),9,0.18488745980707397,0.38333333333333336
mBERT (cased),42,0.8569752281616688,0.8488888888888889
mBERT (cased),1,0.8802399343004178,0.8677777777777778
mBERT (cased),2,0.8578482819740868,0.8466666666666667
mBERT (cased),3,0.8546073447040659,0.8422222222222222
mBERT (cased),4,0.8537922717136062,0.8455555555555555
DistilmBERT,42,0.8545218143955914,0.8433333333333334
DistilmBERT,1,0.8244949741918021,0.8088888888888889
DistilmBERT,2,0.8508000008829422,0.8411111111111111
DistilmBERT,3,0.844226128681932,0.8344444444444444
DistilmBERT,4,0.8691561155781521,0.8611111111111112
